student_id,full_name,gender,math_score,english_score,science_score,attendance_rate,term,gpa,risk_score,engagement_level
5506-350,Mary Smith,Male,92.0,14.0,71.0,74.98,2023_T1,59.0,50,Low
7873-325,Patricia Moore,Female,1.0,87.0,29.0,60.82,2024_T1,39.0,51,Low
3615-814,Robert Smith,Female,63.0,59.0,20.0,68.49,2023_T2,47.333333333333336,50,Low
2584-467,Mary Miller,Female,58.0,41.0,91.0,71.65,2024_T1,63.333333333333336,50,Low
2654-489,Mary Jones,Female,38.0,17.0,3.0,66.82,2023_T2,19.33333333333333,51,Low
7065-463,Jennifer Williams,Male,13.0,8.0,89.0,97.69,2024_T1,36.66666666666666,1,High
3803-646,Robert Johnson,Male,83.0,91.0,59.0,63.91,2023_T1,77.66666666666667,50,Low
5422-755,Linda Miller,Male,7.0,46.0,34.0,64.88,2024_T1,29.0,51,Low
4752-941,Jennifer Smith,Male,35.0,49.0,3.0,96.37,2023_T2,29.0,1,High
2084-316,Michael Brown,Female,5.0,53.0,3.0,72.47,2023_T1,20.33333333333333,51,Low
8517-246,Linda Miller,Female,62.0,17.0,89.0,67.39,2023_T1,56.0,50,Low
5119-666,Linda Moore,Male,59.0,40.0,28.0,74.27,2024_T1,42.333333333333336,50,Low
3591-564,Robert Miller,Male,0.0,7.0,87.0,76.94,2024_T1,31.33333333333333,1,Medium
3927-619,Robert Moore,Male,80.0,7.0,34.0,60.56,2024_T1,40.333333333333336,50,Low
4258-256,Robert Moore,Female,4.0,40.0,27.0,91.61,2023_T1,23.666666666666668,1,High
1009-713,William Moore,Female,71.0,11.0,33.0,94.52,2023_T2,38.333333333333336,1,High
6947-999,James Johnson,Female,22.0,61.0,87.0,63.82,2023_T1,56.66666666666666,50,Low
9645-993,John Brown,Female,0.0,4.0,89.0,88.53,2023_T1,31.0,1,Medium
6107-508,William Jones,Female,13.0,26.0,8.0,69.44,2023_T2,15.666666666666666,51,Low
4770-702,Jennifer Smith,Male,95.0,51.0,95.0,68.07,2023_T1,80.33333333333333,50,Low
4899-385,Mary Moore,Female,35.0,12.0,31.0,90.22,2023_T1,26.0,1,High
4116-649,Patricia Jones,Female,26.0,61.0,76.0,64.4,2023_T1,54.333333333333336,50,Low
7658-597,Patricia Williams,Female,23.0,78.0,58.0,70.78,2023_T1,53.0,50,Low
3697-488,Michael Smith,Male,95.0,87.0,51.0,72.93,2023_T2,77.66666666666667,50,Low
5673-533,Robert Wilson,Female,57.0,51.0,11.0,74.55,2023_T1,39.66666666666666,51,Low
4566-159,Patricia Brown,Male,1.0,2.0,100.0,70.07,2024_T1,34.333333333333336,51,Low
1821-698,Jennifer Smith,Female,80.0,58.0,1.0,71.39,2024_T1,46.333333333333336,50,Low
2113-791,Mary Taylor,Male,0.0,18.0,1.0,73.8,2023_T2,6.333333333333333,51,Low
9565-423,Mary Miller,Female,67.0,54.0,74.0,69.68,2023_T1,65.0,50,Low
5351-505,Jennifer Jones,Male,16.0,37.0,23.0,74.79,2024_T1,25.33333333333333,51,Low
6718-170,Robert Williams,Male,69.0,79.0,92.0,72.83,2023_T2,80.0,50,Low
8179-953,Robert Williams,Female,58.0,35.0,18.0,94.33,2024_T1,37.0,1,High
2753-860,Robert Johnson,Male,32.0,39.0,38.0,63.85,2023_T2,36.333333333333336,51,Low
4450-834,Robert Taylor,Female,0.0,10.0,91.0,97.47,2023_T1,33.666666666666664,1,High
9004-357,Robert Moore,Male,49.0,22.0,30.0,89.41,2023_T1,33.666666666666664,1,Medium
1722-103,Michael Brown,Female,98.0,6.0,15.0,95.09,2023_T1,39.66666666666666,1,High
8239-664,Robert Williams,Female,59.0,1.0,0.0,92.69,2024_T1,20.0,1,High
2232-807,James Johnson,Male,11.0,68.0,36.0,63.72,2024_T1,38.333333333333336,51,Low
1653-466,Robert Davis,Male,2.0,19.0,23.0,89.04,2024_T1,14.666666666666666,1,Medium
3608-906,Patricia Brown,Male,81.0,65.0,53.0,60.2,2023_T2,66.33333333333333,50,Low
4652-124,Robert Jones,Male,32.0,13.0,20.0,88.49,2023_T2,21.666666666666668,1,Medium
